Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.103,0.102,0.099,0.096,0.106,0.092,0.100,0.102,0.096,0.104,4190
Client   1,0.102,0.108,0.098,0.104,0.102,0.097,0.088,0.102,0.094,0.105,3065
Client   2,0.098,0.109,0.098,0.095,0.101,0.104,0.111,0.101,0.094,0.088,2501
Client   3,0.101,0.096,0.098,0.098,0.100,0.102,0.101,0.098,0.101,0.105,3627
Client   4,0.101,0.097,0.103,0.099,0.099,0.107,0.098,0.089,0.103,0.103,3277
Client   5,0.101,0.105,0.100,0.098,0.100,0.100,0.094,0.094,0.102,0.103,2399
Client   6,0.096,0.097,0.100,0.102,0.097,0.103,0.102,0.104,0.102,0.098,7492
Client   7,0.100,0.102,0.102,0.096,0.105,0.098,0.103,0.100,0.105,0.088,5205
Client   8,0.108,0.092,0.101,0.098,0.101,0.104,0.096,0.108,0.096,0.096,3480
Client   9,0.100,0.094,0.092,0.101,0.097,0.106,0.116,0.081,0.121,0.090,1324
Client  10,0.097,0.099,0.101,0.103,0.099,0.103,0.096,0.102,0.097,0.103,2446
Client  11,0.106,0.100,0.090,0.103,0.097,0.098,0.104,0.095,0.101,0.107,3064
Client  12,0.092,0.114,0.105,0.098,0.091,0.096,0.091,0.097,0.100,0.115,2476
Client  13,0.096,0.097,0.101,0.111,0.099,0.090,0.103,0.107,0.099,0.096,2973
Client  14,0.100,0.093,0.109,0.100,0.099,0.101,0.098,0.101,0.095,0.104,2481
