Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.025,0.000,0.172,0.098,0.010,0.335,0.085,0.00,0.275,0.00,4133
Client   1,0.114,0.000,0.025,0.00,0.037,0.000,0.086,0.183,0.361,0.193,2945
Client   2,0.248,0.120,0.205,0.00,0.037,0.001,0.389,0.00,0.00,0.00,4407
Client   3,0.525,0.032,0.014,0.276,0.044,0.002,0.00,0.108,0.00,0.00,3515
Client   4,0.010,0.468,0.033,0.174,0.015,0.00,0.117,0.000,0.131,0.052,3359
Client   5,0.006,0.002,0.002,0.121,0.360,0.018,0.094,0.012,0.378,0.006,1768
Client   6,0.019,0.187,0.017,0.108,0.00,0.379,0.00,0.055,0.003,0.231,3645
Client   7,0.006,0.030,0.021,0.043,0.00,0.158,0.207,0.535,0.00,0.00,3451
Client   8,0.006,0.134,0.115,0.136,0.00,0.494,0.026,0.002,0.044,0.042,1862
Client   9,0.008,0.120,0.316,0.061,0.042,0.00,0.059,0.000,0.00,0.394,4632
Client  10,0.162,0.274,0.004,0.009,0.090,0.127,0.078,0.086,0.169,0.00,3677
Client  11,0.028,0.003,0.011,0.167,0.792,0.00,0.00,0.00,0.00,0.00,3373
Client  12,0.002,0.065,0.125,0.394,0.003,0.00,0.161,0.002,0.247,0.000,2347
Client  13,0.00,0.009,0.012,0.010,0.284,0.097,0.143,0.297,0.147,0.002,2207
Client  14,0.159,0.000,0.207,0.044,0.003,0.010,0.022,0.219,0.015,0.319,4679
