Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.022,0.00,0.013,0.622,0.342,0.00,0.00,0.00,0.00,0.00,6594
Client   1,0.081,0.249,0.670,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5827
Client   2,0.280,0.00,0.035,0.021,0.003,0.196,0.465,0.00,0.00,0.00,5477
Client   3,0.499,0.402,0.00,0.008,0.091,0.00,0.00,0.00,0.00,0.00,5193
Client   4,0.008,0.009,0.00,0.000,0.000,0.006,0.040,0.00,0.215,0.720,5905
Client   5,0.002,0.003,0.00,0.000,0.104,0.269,0.238,0.384,0.00,0.00,7445
Client   6,0.145,0.143,0.00,0.103,0.202,0.00,0.025,0.023,0.004,0.355,692
Client   7,0.006,0.139,0.165,0.003,0.170,0.00,0.052,0.269,0.094,0.101,4891
Client   8,0.002,0.008,0.001,0.054,0.081,0.272,0.027,0.041,0.514,0.00,6341
Client   9,0.032,0.339,0.001,0.186,0.001,0.094,0.001,0.339,0.004,0.004,1635
