Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.094,0.104,0.091,0.095,0.098,0.102,0.104,0.101,0.108,0.103,3333
Client   1,0.091,0.106,0.106,0.095,0.096,0.100,0.100,0.104,0.100,0.104,3333
Client   2,0.098,0.098,0.104,0.091,0.104,0.092,0.105,0.110,0.098,0.101,3333
Client   3,0.102,0.097,0.110,0.097,0.099,0.092,0.107,0.099,0.096,0.102,3333
Client   4,0.101,0.100,0.094,0.107,0.104,0.103,0.095,0.100,0.106,0.092,3333
Client   5,0.097,0.106,0.103,0.099,0.106,0.090,0.098,0.098,0.100,0.104,3333
Client   6,0.105,0.098,0.095,0.105,0.103,0.102,0.101,0.096,0.091,0.104,3333
Client   7,0.099,0.095,0.101,0.103,0.098,0.114,0.097,0.094,0.095,0.103,3333
Client   8,0.101,0.095,0.108,0.104,0.094,0.096,0.102,0.097,0.103,0.102,3333
Client   9,0.113,0.099,0.098,0.096,0.095,0.095,0.096,0.104,0.108,0.097,3333
Client  10,0.100,0.101,0.098,0.105,0.099,0.100,0.107,0.095,0.103,0.093,3333
Client  11,0.100,0.106,0.088,0.106,0.101,0.107,0.090,0.100,0.102,0.101,3333
Client  12,0.097,0.106,0.107,0.104,0.102,0.098,0.096,0.092,0.096,0.102,3333
Client  13,0.103,0.098,0.098,0.094,0.103,0.107,0.098,0.107,0.099,0.093,3333
Client  14,0.099,0.094,0.101,0.100,0.100,0.101,0.106,0.104,0.096,0.101,3333
