Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.102,0.099,0.106,0.094,0.098,0.099,0.102,0.098,0.100,0.101,4362
Client   1,0.095,0.101,0.096,0.105,0.103,0.092,0.099,0.097,0.108,0.104,2877
Client   2,0.105,0.098,0.108,0.099,0.103,0.089,0.093,0.100,0.102,0.104,2194
Client   3,0.102,0.099,0.098,0.107,0.098,0.091,0.104,0.106,0.094,0.102,3600
Client   4,0.096,0.086,0.097,0.100,0.107,0.109,0.099,0.101,0.104,0.101,3144
Client   5,0.097,0.110,0.097,0.092,0.104,0.095,0.104,0.107,0.101,0.092,2075
Client   6,0.102,0.103,0.101,0.101,0.097,0.101,0.099,0.096,0.100,0.101,9472
Client   7,0.102,0.101,0.103,0.097,0.098,0.100,0.098,0.101,0.099,0.101,5829
Client   8,0.102,0.097,0.097,0.107,0.103,0.102,0.107,0.088,0.099,0.098,3408
Client   9,0.093,0.109,0.095,0.102,0.100,0.099,0.106,0.102,0.097,0.097,939
Client  10,0.093,0.104,0.091,0.099,0.097,0.109,0.091,0.107,0.107,0.102,2129
Client  11,0.093,0.107,0.104,0.101,0.104,0.097,0.099,0.101,0.096,0.098,2875
Client  12,0.113,0.096,0.104,0.096,0.093,0.111,0.098,0.102,0.095,0.093,2164
Client  13,0.094,0.095,0.092,0.100,0.102,0.103,0.103,0.108,0.100,0.102,2762
Client  14,0.101,0.099,0.104,0.098,0.101,0.100,0.103,0.102,0.099,0.093,2170
