Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.102,0.102,0.114,0.101,0.097,0.102,0.096,0.091,0.097,0.098,3333
Client   1,0.104,0.094,0.098,0.109,0.102,0.104,0.103,0.095,0.096,0.095,3333
Client   2,0.097,0.116,0.096,0.090,0.104,0.103,0.096,0.096,0.099,0.103,3333
Client   3,0.098,0.107,0.103,0.104,0.102,0.095,0.109,0.092,0.098,0.093,3333
Client   4,0.101,0.097,0.098,0.098,0.093,0.107,0.098,0.100,0.105,0.104,3333
Client   5,0.096,0.095,0.101,0.108,0.106,0.093,0.102,0.107,0.096,0.095,3333
Client   6,0.095,0.101,0.098,0.097,0.113,0.100,0.104,0.091,0.104,0.098,3333
Client   7,0.091,0.089,0.102,0.102,0.099,0.096,0.106,0.115,0.095,0.105,3333
Client   8,0.109,0.095,0.101,0.100,0.094,0.095,0.098,0.101,0.099,0.109,3333
Client   9,0.102,0.100,0.092,0.103,0.100,0.105,0.104,0.096,0.097,0.101,3333
Client  10,0.089,0.104,0.095,0.095,0.101,0.098,0.103,0.102,0.103,0.111,3333
Client  11,0.099,0.102,0.103,0.111,0.097,0.095,0.090,0.096,0.111,0.096,3333
Client  12,0.098,0.099,0.094,0.097,0.109,0.112,0.100,0.103,0.098,0.091,3333
Client  13,0.107,0.095,0.103,0.085,0.098,0.098,0.102,0.111,0.100,0.102,3333
Client  14,0.112,0.106,0.101,0.099,0.087,0.096,0.090,0.107,0.103,0.099,3333
